"Name","Runtime","Notes","Tags","map50","map50_95","map75"
"yellow_80","39","-","","0.5549756337698073","0.4427337144258881","0.48406403026933525"
"yellow_60","79","-","","0.518850592538427","0.4196326100841342","0.4566125210950479"
"yellow_40","74","-","","0.4723357008366156","0.3830979274439767","0.4151213548834722"
"yellow_20","77","-","","0.4235004932234403","0.34232848567080665","0.3705453987544728"
"yellow_0","75","-","","0.17317986246845127","0.12938096958411818","0.13740605461961247"
"purple_80","81","-","","0.5755991912400807","0.45030818774050974","0.4925433849522075"
"purple_60","81","-","","0.5523312382694296","0.4353419333504645","0.47548147915622774"
"purple_40","85","-","","0.5210977966572348","0.4133201981869379","0.4495972778071713"
"purple_20","101","-","","0.4823580770996207","0.3831704242701076","0.41448511441197783"
"purple_0","73","-","","0.17504622648599577","0.13182506915640216","0.14250269349401493"
"orange_80","80","-","","0.5744171642370445","0.4571842878507989","0.4999597920099757"
"orange_60","83","-","","0.5487433558419077","0.442683185928243","0.4842153275773689"
"orange_40","79","-","","0.5060563395634058","0.409635724404579","0.4446980133792041"
"orange_20","79","-","","0.45542413129993253","0.36782283497745694","0.39802554697535486"
"orange_0","76","-","","0.1775222476190534","0.13170992422748615","0.13982528974034197"
"green_80","75","-","","0.5358348728275567","0.42633678083300697","0.4636875409587754"
"green_60","79","-","","0.4859295769508375","0.389572439491627","0.4234939825458765"
"green_40","78","-","","0.4547238854650411","0.3662126845293267","0.3979714682188688"
"green_20","79","-","","0.4295102531283519","0.34610677741561174","0.3734708153133845"
"green_0","75","-","","0.14924460125636635","0.1102629706470649","0.11840001926476348"
"blue_80","80","-","","0.5795983283122822","0.46010830404902914","0.5031036221244812"
"blue_60","79","-","","0.5562171400773032","0.44663671895751195","0.4871076098013832"
"blue_40","79","-","","0.5326555897865668","0.42819499489010093","0.4660068719663039"
"blue_20","81","-","","0.5010185047949612","0.4012008026567044","0.43590984072226674"
"blue_0","76","-","","0.17475815793151095","0.1311323671034202","0.14089575616731698"
"red_80","83","-","","0.5771069203794951","0.460288338410582","0.5031635485124912"
"red_60","79","-","","0.5543169861890798","0.44674329869617","0.4869480566910857"
"red_40","80","-","","0.5226577858961662","0.4209518516595072","0.45784439736273247"
"red_20","80","-","","0.4932570733982512","0.3969510312114852","0.4302511594786373"
"red_0","36","-","","0.1596768174833786","0.12007932077101288","0.12775176737381017"
"Baseline_Baseline","41","-","","0.5861560761114613","0.4525760938685901","0.4956436555090869"