"Name","State","Notes","User","Tags","Created","Runtime","Sweep","map50","map50_95","map75"
"gray_90","finished","-","","","2024-04-29T23:50:21.000Z","147","","0.5813494129775844","0.45111591676155305","0.4962557584986603"
"gray_80","finished","-","","","2024-04-29T23:46:09.000Z","153","","0.5762051765925048","0.45063693723311415","0.4938670748841057"
"gray_70","finished","-","","","2024-04-29T23:41:58.000Z","152","","0.5697348710897301","0.44907727903034333","0.49272973981959983"
"gray_60","finished","-","","","2024-04-29T23:38:55.000Z","84","","0.562081838910238","0.4460881371802584","0.4874946028770461"
"gray_50","finished","-","","","2024-04-29T23:34:02.000Z","198","","0.5528488118423308","0.4417758861202923","0.4834860030032372"
"gray_40","finished","-","","","2024-04-29T23:30:56.000Z","86","","0.5316061757397652","0.4263503132803003","0.46523493091959817"
"gray_30","finished","-","","","2024-04-29T23:27:58.000Z","83","","0.503683433808854","0.40593565826416567","0.4418594679800849"
"gray_20","finished","-","","","2024-04-29T23:25:03.000Z","82","","0.45285665071851006","0.3662354016002866","0.3968988404072683"
"gray_10","finished","-","","","2024-04-29T23:22:06.000Z","83","","0.348322994245484","0.2807554121371463","0.30399825394039653"
"gray_0","finished","-","","","2024-04-29T23:19:16.000Z","77","","0.1488691657072369","0.1140731608874457","0.12169344320744165"
"brown_90","finished","-","","","2024-04-29T23:16:57.000Z","83","","0.5866256639615923","0.4608602095023171","0.5046106382633767"
"brown_80","finished","-","","","2024-04-29T23:13:57.000Z","85","","0.5764190082272992","0.4610829027669168","0.501952115792754"
"brown_70","finished","-","","","2024-04-29T23:10:55.000Z","85","","0.5620286006779192","0.45235414240379657","0.4924170554351736"
"brown_60","finished","-","","","2024-04-29T23:07:51.000Z","88","","0.5426725919970995","0.4378753579862312","0.4772504133644128"
"brown_50","finished","-","","","2024-04-29T23:04:51.000Z","86","","0.5131350998545774","0.4152359263272311","0.4499536816606372"
"brown_40","finished","-","","","2024-04-29T23:01:53.000Z","84","","0.48199267899277026","0.3889268763918842","0.4209530838297364"
"brown_30","finished","-","","","2024-04-29T22:58:50.000Z","83","","0.4394768671091712","0.35316387823345285","0.3819141488191047"
"brown_20","finished","-","","","2024-04-29T22:55:53.000Z","83","","0.3823312263771372","0.30512831225168136","0.3294508919648626"
"brown_10","finished","-","","","2024-04-29T22:53:39.000Z","41","","0.30393722784369415","0.2373726441331168","0.25356108299623664"
"brown_0","finished","-","","","2024-04-29T22:50:03.000Z","123","","0.16806616501198704","0.12689392611426442","0.13602193857706632"
"white_90","finished","-","","","2024-04-29T22:47:38.000Z","87","","0.5791995992386507","0.4534430659217719","0.496628497612952"
"white_80","finished","-","","","2024-04-29T22:44:20.000Z","99","","0.57274316363811","0.453985384513339","0.49698756663357296"
"white_70","finished","-","","","2024-04-29T22:40:51.000Z","113","","0.5658283306790228","0.4529650658264842","0.4941676852903074"
"white_60","finished","-","","","2024-04-29T22:36:03.000Z","145","","0.5561519718197283","0.44841007397564425","0.4863292686521116"
"white_50","finished","-","","","2024-04-29T22:31:18.000Z","185","","0.5402835136210282","0.43873084458186473","0.47610405606780415"
"white_40","finished","-","","","2024-04-29T22:27:33.000Z","125","","0.5173819441273692","0.4223831107399365","0.4592320744241043"
"white_30","finished","-","","","2024-04-29T22:22:45.000Z","185","","0.485324623142631","0.3970260100290421","0.43180842825289656"
"white_20","finished","-","","","2024-04-29T22:19:01.000Z","123","","0.4308944980383541","0.35073341554431103","0.3790049837732595"
"white_10","finished","-","","","2024-04-29T22:14:38.000Z","161","","0.3475256530875788","0.2805403356961188","0.30349562757195286"
"white_0","finished","-","","","2024-04-29T22:11:47.000Z","79","","0.18774319520402272","0.1401684170397146","0.14922089730891322"
"yellow_90","finished","-","","","2024-04-29T22:09:21.000Z","86","","0.5736718493328941","0.450891849635176","0.49442436706271825"
"yellow_80","finished","-","","","2024-04-29T22:06:13.000Z","85","","0.5549756337698073","0.4427337144258881","0.48406403026933525"
"yellow_70","finished","-","","","2024-04-29T22:03:04.000Z","85","","0.5376112810422986","0.43273756764855986","0.4715113348896241"
"yellow_60","finished","-","","","2024-04-29T21:59:50.000Z","91","","0.518850592538427","0.4196326100841342","0.4566125210950479"
"yellow_50","finished","-","","","2024-04-29T21:54:51.000Z","189","","0.4956067752487076","0.40178389477423154","0.4360780362892476"
"yellow_40","finished","-","","","2024-04-29T21:51:35.000Z","85","","0.4723357008366156","0.3830982558998832","0.4151213548834722"
"yellow_30","finished","-","","","2024-04-29T21:47:45.000Z","117","","0.4482288145098515","0.3625740389011293","0.3937269641515484"
"yellow_20","finished","-","","","2024-04-29T21:44:34.000Z","83","","0.4235004932234403","0.3423164542259515","0.3705453987544728"
"yellow_10","finished","-","","","2024-04-29T21:41:25.000Z","84","","0.3945103582295125","0.3170580033720413","0.3409838461870426"
"yellow_0","finished","-","","","2024-04-29T21:38:24.000Z","78","","0.17317986246845127","0.12938096958411818","0.13740605461961247"
"purple_90","finished","-","","","2024-04-29T21:36:00.000Z","85","","0.5845627878979867","0.45419227949573954","0.49774172748051376"
"purple_80","finished","-","","","2024-04-29T21:32:51.000Z","85","","0.5755991912400807","0.45030818774050974","0.4925433849522075"
"purple_70","finished","-","","","2024-04-29T21:29:39.000Z","89","","0.5662597234622309","0.4454335841114078","0.4872802873954537"
"purple_60","finished","-","","","2024-04-29T21:26:31.000Z","85","","0.5521840721685047","0.4352235198644409","0.47530167896049225"
"purple_50","finished","-","","","2024-04-29T21:23:20.000Z","86","","0.5377133993374242","0.4246702003705289","0.4627253907908189"
"purple_40","finished","-","","","2024-04-29T21:18:25.000Z","191","","0.5210977966572348","0.4133201981869379","0.4495972778071713"
"purple_30","finished","-","","","2024-04-29T21:12:01.000Z","273","","0.5028467491121089","0.40005801695293886","0.43302506774410887"
"purple_20","finished","-","","","2024-04-29T21:07:18.000Z","172","","0.4823580770996207","0.3831704242701076","0.41448511441197783"
"purple_10","finished","-","","","2024-04-29T21:04:09.000Z","83","","0.4639813523241599","0.36787590048352314","0.3974301312378118"
"purple_0","finished","-","","","2024-04-29T21:01:15.000Z","80","","0.17504622648599577","0.13182506915640216","0.14250269349401493"
"orange_90","finished","-","","","2024-04-29T20:58:59.000Z","83","","0.5815099467721441","0.4559036858126643","0.4984965228155144"
"orange_80","finished","-","","","2024-04-29T20:55:25.000Z","121","","0.5744171642370445","0.4571842878507989","0.4999597920099757"
"orange_70","finished","-","","","2024-04-29T20:53:09.000Z","42","","0.565530093115411","0.4537253763059826","0.49672745886691994"
"orange_60","finished","-","","","2024-04-29T20:50:14.000Z","80","","0.5487433558419077","0.4426767768326444","0.4842153275773689"
"orange_50","finished","-","","","2024-04-29T20:47:16.000Z","81","","0.5246761060090817","0.4244189234780276","0.4614335286112812"
"orange_40","finished","-","","","2024-04-29T20:44:19.000Z","81","","0.5060563395634058","0.409635724404579","0.4446980133792041"
"orange_30","finished","-","","","2024-04-29T20:41:22.000Z","82","","0.48267360428205414","0.39120208616953656","0.4263068072647808"
"orange_20","finished","-","","","2024-04-29T20:38:26.000Z","81","","0.45542413129993253","0.36782283497745694","0.39802554697535486"
"orange_10","finished","-","","","2024-04-29T20:35:32.000Z","80","","0.42204009847450896","0.3393366708265597","0.36689519368087986"
"orange_0","finished","-","","","2024-04-29T20:32:39.000Z","78","","0.1775222476190534","0.13170992422748615","0.13982528974034197"
"green_90","finished","-","","","2024-04-29T20:30:22.000Z","81","","0.5575030008461658","0.4383426379145379","0.47894027318413224"
"green_80","finished","-","","","2024-04-29T20:27:26.000Z","81","","0.5358348728275567","0.42633678083300697","0.4636875409587754"
"green_70","finished","-","","","2024-04-29T20:24:32.000Z","80","","0.5133554438466214","0.4113522487785961","0.44739086224606694"
"green_60","finished","-","","","2024-04-29T20:21:36.000Z","82","","0.4859295769508375","0.389572439491627","0.4234939825458765"
"green_50","finished","-","","","2024-04-29T20:18:39.000Z","80","","0.4681452065587667","0.3764925839124581","0.4085770671854976"
"green_40","finished","-","","","2024-04-29T20:15:42.000Z","81","","0.4547238854650411","0.3662126845293267","0.3979714682188688"
"green_30","finished","-","","","2024-04-29T20:12:46.000Z","81","","0.4416087073808149","0.3562093301765068","0.3845281936893711"
"green_20","finished","-","","","2024-04-29T20:10:33.000Z","39","","0.4295102531283519","0.34610677741561174","0.3734708153133845"
"green_10","finished","-","","","2024-04-29T20:06:59.000Z","79","","0.41451839840410304","0.33294912500555357","0.3585822535428118"
"green_0","finished","-","","","2024-04-29T20:04:10.000Z","75","","0.14924460125636635","0.1102629706470649","0.11840001926476348"
"blue_90","finished","-","","","2024-04-29T20:00:47.000Z","149","","0.5886927137917942","0.46249950381289834","0.5066384858068754"
"blue_80","finished","-","","","2024-04-29T19:58:35.000Z","40","","0.5795983283122822","0.46011821070035674","0.5031036221244812"
"blue_70","finished","-","","","2024-04-29T19:54:58.000Z","82","","0.5665807576445797","0.4537471457045201","0.4957468832966493"
"blue_60","finished","-","","","2024-04-29T19:52:05.000Z","81","","0.5562171400773032","0.44663671895751195","0.4871076098013832"
"blue_50","finished","-","","","2024-04-29T19:49:12.000Z","80","","0.5457044673096952","0.4386405146337134","0.4788786700642024"
"blue_40","finished","-","","","2024-04-29T19:46:18.000Z","80","","0.5326555897865668","0.42819499489010093","0.4660068719663039"
"blue_30","finished","-","","","2024-04-29T19:43:24.000Z","80","","0.5139922064725241","0.4118538062900068","0.4477881093275145"
"blue_20","finished","-","","","2024-04-29T19:40:29.000Z","81","","0.5010185047949612","0.4012008026567044","0.43590984072226674"
"blue_10","finished","-","","","2024-04-29T19:37:34.000Z","81","","0.49076927028323614","0.3926028667123698","0.4277852453032753"
"blue_0","finished","-","","","2024-04-29T19:34:47.000Z","75","","0.17475815793151095","0.1311323671034202","0.14089575616731698"
"red_90","finished","-","","","2024-04-29T19:32:31.000Z","82","","0.5845097741425762","0.4598687859817784","0.5038644085829654"
"red_80","finished","-","","","2024-04-29T19:29:35.000Z","81","","0.5771069203794951","0.460288338410582","0.5031635485124912"
"red_70","finished","-","","","2024-04-29T19:26:42.000Z","81","","0.565897576758769","0.4544258520831659","0.4947004805567764"
"red_60","finished","-","","","2024-04-29T19:23:47.000Z","83","","0.5543169861890798","0.44674329869617","0.4869480566910857"
"red_50","finished","-","","","2024-04-29T19:20:54.000Z","81","","0.542166782095873","0.437419959614217","0.4762950692405953"
"red_40","finished","-","","","2024-04-29T19:18:02.000Z","80","","0.5226577858961662","0.4209518516595072","0.45784439736273247"
"red_30","finished","-","","","2024-04-29T19:14:29.000Z","121","","0.5081606919701389","0.4091518278533394","0.4446846237927417"
"red_20","finished","-","","","2024-04-29T19:12:17.000Z","41","","0.4932570733982512","0.3969661875739226","0.4302511594786373"
"red_10","finished","-","","","2024-04-29T19:09:25.000Z","81","","0.48100088373614175","0.38552602802202185","0.41668029246586713"
"red_0","finished","-","","","2024-04-29T19:07:08.000Z","45","","0.1596768174833786","0.12007956250969258","0.1277542020422393"
"black_black","finished","-","","","2024-04-29T19:05:26.000Z","46","","0.5861560761114613","0.4525760938685901","0.4956436555090869"